Scale,N,Approximation,Error
1.5,1600,1.1025,16.7263
1.5,2100,0.994286,5.2692
1.5,2600,0.941538,0.31537
1.5,3100,0.870968,7.78699
1.5,3600,1.06,12.2267
1.5,4100,0.869268,7.96692
1.5,4600,1.03304,9.37265
1.5,5100,0.931765,1.35016
1.5,5600,0.951429,0.731737
1.5,6100,0.97377,3.09717
1.5,6600,0.910909,3.55823
1.5,7100,0.867042,8.2026
1.5,7600,1.02316,8.32602
1.5,8100,0.986667,4.46254
1.5,8600,1.01302,7.25303
1.5,9100,1.00484,6.38612
1.5,9600,0.8625,8.6835
1.5,10100,0.944554,0.00394588
1.5,10600,0.984906,4.2761
1.5,11100,0.908108,3.85478
1.5,11600,0.906207,4.05607
1.5,12100,1.01455,7.41419
1.5,12600,0.914286,3.20073
1.5,13100,0.975573,3.28796
1.5,13600,0.915882,3.03169
1.5,14100,0.90383,4.30775
1.5,14600,0.877808,7.06276
1.5,15100,0.977483,3.49028
1.5,15600,0.920769,2.5143
1.5,16100,1.00174,6.05833
1.5,16600,0.98241,4.01183
1.5,17100,0.941053,0.366807
1.5,17600,0.902045,4.49666
1.5,18100,0.952707,0.867109
1.5,18600,0.952258,0.819559
1.5,19100,0.92356,2.2188
1.5,19600,0.953265,0.9262
1.5,20100,1.01373,7.32799
1.5,20600,0.910485,3.60308
1.5,21100,0.975924,3.32519
1.5,21600,1.03,9.05042
1.5,22100,0.935023,1.00523
1.5,22600,0.978053,3.55059
1.5,23100,0.945974,0.154242
1.5,23600,0.91678,2.93669
1.5,24100,0.93361,1.15479
1.5,24600,0.919024,2.69903
1.5,25100,0.983904,4.17009
1.5,25600,1.0125,7.19763
1.5,26100,0.977931,3.53766
1.5,26600,0.960902,1.73476
1.5,27100,0.924576,2.11129
1.5,27600,0.907826,3.88464
1.5,28100,1.00313,6.20576
1.5,28600,0.954126,1.01731
1.5,29100,0.981031,3.86586
1.5,29600,0.963243,1.98261
1.5,30100,0.975947,3.32759
1.5,30600,0.962353,1.88835
1.5,31100,0.946881,0.25027
1.5,31600,0.919367,2.66275
1.5,32100,0.926355,1.92289
1.5,32600,0.965153,2.18484
1.5,33100,0.895106,5.2314
1.5,33600,0.951429,0.731737
1.5,34100,0.917419,2.86896
1.5,34600,0.90104,4.60306
1.5,35100,0.923077,2.26997
1.5,35600,0.954607,1.06822
1.5,36100,0.952355,0.829777
1.5,36600,0.964918,2.15992
1.5,37100,0.944151,0.0387756
1.5,37600,0.942128,0.252989
1.5,38100,0.908976,3.76285
1.5,38600,0.970881,2.79123
1.5,39100,0.963069,1.96416
1.5,39600,0.930909,1.44075
1.5,40100,0.9202,2.57462
1.5,40600,0.944335,0.0192914
1.5,41100,0.988029,4.6068
1.5,41600,0.984808,4.26573
1.5,42100,0.961995,1.85048
1.5,42600,0.927042,1.85014
1.5,43100,0.958886,1.52132
1.5,43600,0.980917,3.85385
1.5,44100,0.932245,1.29932
1.5,44600,0.958924,1.52529
1.5,45100,0.933925,1.12148
1.5,45600,0.891316,5.63266
1.5,46100,0.955054,1.1156
1.5,46600,0.927811,1.76874
1.5,47100,0.911083,3.53984
1.5,47600,0.919664,2.63133
1.5,48100,0.943035,0.156889
1.5,48600,0.916296,2.98786
1.5,49100,0.945092,0.0608209
1.5,49600,0.947903,0.358494
1.5,50100,0.914012,3.22971
1.5,50600,0.926324,1.92618
1.5,51100,0.894716,5.27263
1.5,51600,0.954419,1.0483
1.5,52100,0.945259,0.0785514
1.5,52600,0.902738,4.42338
1.5,53100,0.932203,1.30371
1.5,53600,0.942985,0.162211
1.5,54100,0.947579,0.32412
1.5,54600,0.943516,0.105949
1.5,55100,0.963702,2.03121
1.5,55600,0.958273,1.45643
1.5,56100,0.997861,5.64773
1.5,56600,0.952155,0.808698
1.5,57100,0.916708,2.94432
1.5,57600,0.95375,0.977517
1.5,58100,0.953597,0.961344
1.5,58600,0.949761,0.555194
1.5,59100,0.982538,4.02543
1.5,59600,0.915705,3.0505
1.5,60100,0.966789,2.35798
1.5,60600,0.966535,2.33108
1.5,61100,0.923863,2.1868
1.5,61600,0.95961,1.59798
1.5,62100,0.906087,4.06877
1.5,62600,0.967284,2.41045
1.5,63100,0.946498,0.209677
1.5,63600,0.952075,0.800227
1.5,64100,0.922746,2.30504
1.5,64600,0.935666,0.937151
1.5,65100,0.928479,1.698
1.5,65600,0.972988,3.0143
1.5,66100,0.957458,1.37014
1.5,66600,0.944324,0.0204191
1.5,67100,0.953383,0.938662
1.5,67600,0.953254,0.92505
1.5,68100,0.963172,1.97504
1.5,68600,0.97137,2.84305
1.5,69100,0.960695,1.71278
1.5,69600,0.926897,1.86557
1.5,70100,0.949044,0.479296
1.5,70600,0.931105,1.42002
1.5,71100,0.966076,2.28252
1.5,71600,0.931676,1.35955
1.5,72100,0.945687,0.123805
1.5,72600,0.95405,1.00924
1.5,73100,0.92093,2.49725
1.5,73600,0.954783,1.08684
1.5,74100,0.943482,0.109623
1.5,74600,0.954531,1.06019
1.5,75100,0.920852,2.50551
1.5,75600,0.924762,2.09157
1.5,76100,0.921524,2.43435
1.5,76600,0.958747,1.50654
1.5,77100,0.934319,1.07972
1.5,77600,0.938969,0.587402
1.5,78100,0.961076,1.7531
1.5,78600,0.935267,0.979337
1.5,79100,0.933906,1.1234
1.5,79600,0.952915,0.889067
1.5,80100,0.937978,0.692381
1.5,80600,0.948238,0.393961
1.5,81100,0.985006,4.28674
1.5,81600,0.927353,1.81725
1.5,82100,0.956346,1.25236
1.5,82600,0.95753,1.37775
1.5,83100,0.969097,2.60242
1.5,83600,0.943923,0.0628618
1.5,84100,0.954578,1.06517
1.5,84600,0.952766,0.873332
1.5,85100,0.992009,5.0282
1.5,85600,0.951729,0.763542
1.5,86100,0.937422,0.751239
1.5,86600,0.923695,2.20452
1.5,87100,0.921699,2.41584
1.5,87600,0.975205,3.2491
1.5,88100,0.969671,2.66312
1.5,88600,0.922754,2.30417
1.5,89100,0.955556,1.16868
1.5,89600,0.930536,1.48028
1.5,90100,0.901398,4.56516
1.5,90600,0.941325,0.338023
1.5,91100,0.952755,0.872195
1.5,91600,0.925546,2.00857
1.5,92100,0.915831,3.03717
1.5,92600,0.952484,0.843459
1.5,93100,0.952782,0.875026
1.5,93600,0.926923,1.86276
1.5,94100,0.974028,3.12439
1.5,94600,0.938436,0.643892
1.5,95100,0.9547,1.07813
1.5,95600,0.934268,1.08515
1.5,96100,0.961998,1.85076
1.5,96600,0.932795,1.24107
1.5,97100,0.939856,0.493519
1.5,97600,0.965287,2.19898
1.5,98100,0.937615,0.730797
1.5,98600,0.937972,0.693008
1.5,99100,0.961574,1.80589
1.5,99600,0.963253,1.98364
2,100,0.49,48.1216
2,600,0.816667,13.5361
2,1100,0.757273,19.8244
2,1600,1.225,29.6959
2,2100,0.91,3.65448
2,2600,1.01769,7.74736
2,3100,0.853548,9.63125
2,3600,1.08889,15.2852
2,4100,0.98,3.75671
2,4600,0.937391,0.754447
2,5100,0.960784,1.72227
2,5600,0.88375,6.43368
2,6100,0.867541,8.14979
2,6600,0.987424,4.54275
2,7100,1.06972,13.2556
2,7600,0.902632,4.43461
2,8100,0.798519,15.4575
2,8600,0.900233,4.6886
2,9100,0.942308,0.233928
2,9600,0.985104,4.29711
2,10100,0.999406,5.8113
2,10600,0.989245,4.73555
2,11100,1.01973,7.96307
2,11600,1.03914,10.0179
